Device: USB-1408FS-Plus,,,,
Serial Number: 18FB9D0,,,,
Channel Count: 3,,,,
Sample Count: 31250,,,,
Start Time: 6/25/2018 1:33:59 PM,,,,
Sampling Interval: 0.0005,,,,
Time,Height (mm),SLS Voltag (V),Applied Vo (V),LS Resistance (ohms)
0.1405,0,5.937,11.804,323.6155787
0.141,0.599,5.939,11.804,323.8349872
0.1415,0.3,5.939,11.801,324.0007165
0.142,0,5.937,11.804,323.6155787
0.1425,0.3,5.937,11.804,323.6155787
0.143,0.3,5.937,11.804,323.6155787
0.1435,0.3,5.937,11.801,323.7811392
0.144,0,5.937,11.801,323.7811392
0.1445,0,5.937,11.804,323.6155787
0.145,0.898,5.937,11.801,323.7811392
0.1455,0,5.937,11.804,323.6155787
0.146,0,5.937,11.801,323.7811392
0.1465,0,5.937,11.801,323.7811392
0.147,0.599,5.939,11.804,323.8349872
0.1475,0.3,5.937,11.801,323.7811392
0.148,0.3,5.937,11.801,323.7811392
0.1485,0,5.937,11.804,323.6155787
0.149,0.3,5.937,11.801,323.7811392
0.1495,0.599,5.937,11.801,323.7811392
0.15,0.599,5.937,11.801,323.7811392
0.1505,0.3,5.937,11.801,323.7811392
0.151,0.3,5.937,11.801,323.7811392
0.1515,0.898,5.939,11.801,324.0007165
0.152,0.599,5.937,11.801,323.7811392
0.1525,0.599,5.937,11.801,323.7811392
0.153,0.3,5.937,11.801,323.7811392
0.1535,0.898,5.937,11.801,323.7811392
0.154,0.599,5.937,11.801,323.7811392
0.1545,0.3,5.937,11.804,323.6155787
0.155,0.599,5.939,11.804,323.8349872
0.1555,0.898,5.939,11.801,324.0007165
0.156,0.599,5.937,11.804,323.6155787
0.1565,0.3,5.937,11.804,323.6155787
0.157,0.599,5.937,11.801,323.7811392
0.1575,0.898,5.939,11.801,324.0007165
0.158,0.599,5.939,11.801,324.0007165
0.1585,0.599,5.937,11.801,323.7811392
0.159,0.599,5.937,11.804,323.6155787
0.1595,0.898,5.937,11.801,323.7811392
0.16,0.898,5.937,11.801,323.7811392
0.1605,0.898,5.937,11.804,323.6155787
0.161,0.599,5.937,11.801,323.7811392
